CATEG,Siren,Insee,Nom
REG,200052264,44,Grand Est
REG,239710015,01,Guadeloupe
CTU,200052678,03,Guyane
REG,200053742,32,Hauts-de-France
CTU,200076958,94,Corse
CTU,200055507,02,Martinique
REG,200053403,28,Normandie
REG,200053726,27,Bourgogne-Franche-Comté
REG,200053791,76,Occitanie
REG,234500023,24,Centre-Val de Loire
REG,237500079,11,Île-de-France
REG,239740012,04,La Réunion
REG,233500016,53,Bretagne
REG,200053759,75,Nouvelle-Aquitaine
REG,200053767,84,Auvergne-Rhône-Alpes
REG,231300021,93,Provence-Alpes-Côte d'Azur
REG,234400034,52,Pays de la Loire
